Nr.,Autorius,Pavadinimas,Originalo pavadinimas,Kalba,Leidykla,Metai,Žanras,Serija,Puslapiai,ISBN,Lentynos vieta,Pastabos,Teminė linija,Subgrupė,ID,Statusas,Dabartinis laikytojas,Būklė,Kaina (EUR),Įsigijimo data,Įsigijimo šaltinis,Tiražas,Originalo metai,Foto,Atnaujinta,Kas atnaujino,Patalpa,Lentyna
467.0,,Private Pilot Handbook,,Anglų,Jeppesen (Guided Flight Discoveries),,Aviacija,,,,"Spinta C, 6 lentyna",Padėta gulsčiai,"X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00467,Lentynoje,,,,,,,,,,,,
468.0,Akira Toriyama,Drakonų kovos (Dragon Ball) — serija,Dragon Ball,Lietuvių,,,Manga / komiksai,Drakonų kovos,,,"Spinta C, 7 lentyna (apatinė)","Daug tomų (matomi Nr. 2, 5, 6, 8, 9, 10, 11, 13, 21, 22, 23, 24 ...). Tikslų komplektą patikslinti",C17. Manga ir komiksai,,K00468,Lentynoje,,,,,,,,,,,,
469.0,Masashi Kishimoto (Masašis Kišimotas),Naruto — serija,Naruto,Lietuvių,,,Manga / komiksai,Naruto,,,"Spinta C, 7 lentyna (apatinė)","Matomi tomai Nr. 2, 3, 5, 6",C17. Manga ir komiksai,,K00469,Lentynoje,,,,,,,,,,,,
470.0,Arnoldas Tannenbaumas,Kelionės į šiuolaikinę matematiką,,Lietuvių,TEV,,Matematika,,,,"Spinta C, 7 lentyna (apatinė)",PATIKSLINTI autorių,"F34. Kosmosas, fizika, matematika",,K00470,Lentynoje,,,,,,,,,,,,
471.0,Thomas L. Friedman,The World Is Flat,,Anglų,,,Ekonomika / globalizacija,,,,"Spinta C, 7 lentyna (apatinė)",,F32. Ekonomika ir politinė ekonomija,,K00471,Lentynoje,,,,,,,,,,,,
472.0,,Lietuvos karininko fotoalbumas,,Lietuvių,,,Istorija / albumas,,,,"Spinta C, 7 lentyna (apatinė)",PATIKSLINTI,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00472,Lentynoje,,,,,,,,,,,,
473.0,Hans-Georg Gadamer,Tiesa ir metodas (2 tomas),Wahrheit und Methode,Lietuvių,,,Filosofija,,,,"Spinta C, 7 lentyna (apatinė)",,D20. XX a. ir lietuvių filosofija,,K00473,Lentynoje,,,,,,,,,,,,
474.0,Eliyahu M. Goldratt,Tikslas,The Goal,Lietuvių,,,Vadyba,,,,"Spinta C, 7 lentyna (apatinė)",,G37. Strategija ir vadyba,,K00474,Lentynoje,,,,,,,,,,,,
475.0,,Chemijos enciklopedija,,Lietuvių,,,Enciklopedija / chemija,,,,"Spinta C, 7 lentyna (apatinė)",,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00475,Lentynoje,,,,,,,,,,,,
476.0,,2014–2018,,Lietuvių,,,Albumas / ataskaita,,,,"Spinta C, 7 lentyna (apatinė)",PATIKSLINTI,"H48. Menas, kalbos, pomėgiai",Pasaulio dailės albumai,K00476,Lentynoje,,,,,,,,,,,,
477.0,,Didysis lietuvių–esperanto kalbų žodynas,La granda litova–esperanta vortaro,Lietuvių / esperanto,,,Žodynas,,,,"Spinta C, 7 lentyna (apatinė)",,"H48. Menas, kalbos, pomėgiai",Kalbos ir žodynai,K00477,Lentynoje,,,,,,,,,,,,
478.0,,Spalvotieji kineskopai,,Lietuvių,,,Technika,,,,"Spinta C, 7 lentyna (apatinė)",PATIKSLINTI: gali sutapti su Nr. 345,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00478,Lentynoje,,,,,,,,,,,,
479.0,Sun Tzu,Karo menas,The Art of War (孫子兵法),Lietuvių,,,Strategija,,,,"Spinta C, 7 lentyna (apatinė)",,G37. Strategija ir vadyba,,K00479,Lentynoje,,,,,,,,,,,,
480.0,Martin Åberg; Martin Peterson,Baltic Cities,,Anglų,,1998.0,Istorija / urbanistika,,,9789189116030.0,"Spinta C, 7 lentyna (apatinė)",leidykla nepatikslinta (OL nurodo platintoją),E27. LDK ir Lietuvos istorija,Sintezės ir monografijos ★ pora: originalas + vertimas,K00480,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,49.0
481.0,Mark McNeilly,Rinktinė,,Anglų,,,Verslas / strategija,,,,"Spinta C, 7 lentyna (apatinė)",PATIKSLINTI tikslų pavadinimą,G37. Strategija ir vadyba,,K00481,Lentynoje,,,,,,,,,,,,
482.0,,Iš lietuvių kultūros istorijos,,Lietuvių,,,Kultūros istorija,,,,"Spinta D, 1 lentyna (viršutinė)",PATIKSLINTI tomą/autorių,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00482,Lentynoje,,,,,,,,,,,,
483.0,,Tautinis mentalitetas,,Lietuvių,,,Kultūrologija,,,,"Spinta D, 1 lentyna (viršutinė)",,"D25. Sociologija, semiotika, antropologija",,K00483,Lentynoje,,,,,,,,,,,,
484.0,,Lietuviai IX–XII amžiais,,Lietuvių,,,Istorija,,,,"Spinta D, 1 lentyna (viršutinė)",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00484,Lentynoje,,,,,,,,,,,,
485.0,Aldonas Pupkis,Kalbos kultūros pagrindai,,Lietuvių,,,Kalbotyra,,,,"Spinta D, 1 lentyna (viršutinė)",PATIKSLINTI autoriaus vardą,"H48. Menas, kalbos, pomėgiai",Kalbos ir žodynai,K00485,Lentynoje,,,,,,,,,,,,
486.0,,Baltų mitologijos ir ritualo tyrimai,,Lietuvių,Aidai,,Mitologija / religijotyra,,,,"Spinta D, 1 lentyna (viršutinė)",,D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K00486,Lentynoje,,,,,,,,,,,,
487.0,Pilypas Ruigys (P. Ruigys),Rinktinė,,Lietuvių,,,Kalbotyra,,,,"Spinta D, 1 lentyna (viršutinė)",PATIKSLINTI tikslų pavadinimą,"H48. Menas, kalbos, pomėgiai",Kalbos ir žodynai,K00487,Lentynoje,,,,,,,,,,,,
488.0,,Mikalojaus Daukšos Postilės prakalbos,,Lietuvių,,,Kalbotyra / senoji raštija,,,,"Spinta D, 1 lentyna (viršutinė)",,"H48. Menas, kalbos, pomėgiai",Kalbos ir žodynai,K00488,Lentynoje,,,,,,,,,,,,
489.0,Algirdas Sabaliauskas,Mes baltai,,Lietuvių,,1986.0,Kalbotyra / istorija,,,,"Spinta D, 1 lentyna (viršutinė)",Nugarėlėje matomi galimai 2 egz.,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos ★ pora: originalas + vertimas,K00489,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,62.0
490.0,Mykolas Lietuvis,"Apie totorių, lietuvių ir maskvėnų papročius",,Lietuvių,,,Istorija / etnografija,,,,"Spinta D, 1 lentyna (viršutinė)",PATIKSLINTI,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00490,Lentynoje,,,,,,,,,,,,
491.0,Leonas Karsavinas,Europos kultūros istorija,,Lietuvių,Vaga,,Kultūros istorija,,,,"Spinta D, 1 lentyna (viršutinė)","3 tomas · 5 tomų Vagos leidimas (1991–1998); kataloge tomas nenurodytas (bibliotekoje 3 egz. – Nr. 547, 550, 555)",E31. Istorijos biblioteka,Kultūros istorija,K00491,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,53.0
492.0,Marcelinas Ročka,Rinktinė,,Lietuvių,,,Literatūrologija,,,,"Spinta D, 1 lentyna (viršutinė)",PATIKSLINTI tikslų pavadinimą,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00492,Lentynoje,,,,,,,,,,,,
493.0,,Lietuvių šeimos papročiai,,Lietuvių,,,Etnografija,,,,"Spinta D, 1 lentyna (viršutinė)",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00493,Lentynoje,,,,,,,,,,,,
494.0,Paulius Galaunė,Lietuvių liaudies menas,,Lietuvių,,,Menotyra / etnografija,,,,"Spinta D, 1 lentyna (viršutinė)",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00494,Lentynoje,,,,,,,,,,,,
495.0,Paparonis,Pasakų atošvaistos,,Lietuvių,,,Proza,,,,"Spinta D, 1 lentyna (viršutinė)",,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00495,Lentynoje,,,,,,,,,,,,
497.0,Algimantas Čekuolis,Šešios progos numirti,,Lietuvių,,,Proza / memuarai,,,,"Spinta D, 1 lentyna (viršutinė)",,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00497,Lentynoje,,,,,,,,,,,,
498.0,,Apie monsinjorą Kazimierą Vasiliauską,,Lietuvių,,,Biografija,,,,"Spinta D, 1 lentyna (viršutinė)",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00498,Lentynoje,,,,,,,,,,,,
499.0,Viktorija Daujotytė,Žmogus ir jo kalnas,,Lietuvių,Alma littera,,Eseistika,,,,"Spinta D, 1 lentyna (viršutinė)",,A50. Lietuvių XX–XXI a. literatūra,Eseistika ir humoras,K00499,Lentynoje,,,,,,,,,,,,
500.0,Petras Repšys; Aurimas Švedas,Piešimas buvo tarsi durys,,Lietuvių,Aidai,,Pokalbiai / menas,,,,"Spinta D, 1 lentyna (viršutinė)",PATIKSLINTI tikslų pavadinimą,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00500,Lentynoje,,,,,,,,,,,,
501.0,,Vrubelis,,Lietuvių,,,Dailės monografija,,,,"Spinta D, 1 lentyna (viršutinė)",PATIKSLINTI autorių (apie M. Vrubelį),"H48. Menas, kalbos, pomėgiai",Pasaulio dailės albumai,K00501,Lentynoje,,,,,,,,,,,,
502.0,,Šekspyras,,Lietuvių,,,Monografija,,,,"Spinta D, 1 lentyna (viršutinė)",PATIKSLINTI autorių,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00502,Lentynoje,,,,,,,,,,,,
503.0,,Pasteris,,Lietuvių,,,Biografija,,,,"Spinta D, 1 lentyna (viršutinė)",PATIKSLINTI autorių (apie L. Pasteurą),E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00503,Lentynoje,,,,,,,,,,,,
504.0,,Balzakas,,Lietuvių,,,Biografija,,,,"Spinta D, 1 lentyna (viršutinė)",PATIKSLINTI autorių (apie H. de Balzaką),E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00504,Lentynoje,,,,,,,,,,,,
505.0,S. Kraniauskienė; S. Pocytė; R. Leiserowitz; I. Šutinienė,Klaipėdos kraštas 1945–1960 m.,,Lietuvių,,,Istorija,,,,"Spinta D, 1 lentyna (viršutinė)",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00505,Lentynoje,,,,,,,,,,,,
506.0,Vanda Ibianska,Gyvenimas kaip senas vynas,,Lietuvių,,,Eseistika,,,,"Spinta D, 1 lentyna (viršutinė)",,A50. Lietuvių XX–XXI a. literatūra,Eseistika ir humoras,K00506,Lentynoje,,,,,,,,,,,,
507.0,Józef Mackiewicz,Kelias į niekur,Droga donikąd,Lietuvių,Aidai,,Romanas,,,,"Spinta D, 1 lentyna (viršutinė)",,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00507,Lentynoje,,,,,,,,,,,,
508.0,Žibutė Gadliauskienė (?),"Laiškai, kurių tu niekada negausi",,Lietuvių,Alma littera,,Proza,,,,"Spinta D, 1 lentyna (viršutinė)",PATIKSLINTI autorę,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00508,Lentynoje,,,,,,,,,,,,
509.0,Antonio Tabucchi,Dreams of Dreams,Sogni di sogni,Anglų,City Lights,,Proza,,,,"Spinta D, 1 lentyna (viršutinė)",Padėta gulsčiai,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00509,Lentynoje,,,,,,,,,,,,
510.0,Peter Kummer,Nieko nėra neįmanoma,,Lietuvių,,,Saviugda,,,,"Spinta D, 1 lentyna (viršutinė)",Padėta gulsčiai. PATIKSLINTI,D23. Psichologija ir saviugda,Saviugda,K00510,Lentynoje,,,,,,,,,,,,
511.0,,,,Lietuvių,,,,,,,"Spinta D, 1 lentyna (viršutinė)","PATIKSLINTI: „Lituanistinė biblioteka“ serija ir keli seni tomeliai (V. Pabsto, kt.) — nugarėlės iš dalies neįskaitomos","X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00511,Lentynoje,,,,,,,,,,,,
512.0,,Pirmasis Lietuvos Statutas / Первый Литовский статут,,Lietuvių / rusų,,,Teisės istorija,,,,"Spinta D, 2 lentyna",Nr. 3,E27. LDK ir Lietuvos istorija,Šaltiniai ir kronikos,K00512,Lentynoje,,,,,,,,,,,,
513.0,,Lietuvos Respublikos Prezidentai,,Lietuvių,,,Istorija,,,,"Spinta D, 2 lentyna",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00513,Lentynoje,,,,,,,,,,,,
514.0,,Penkeri Prezidento metai,,Lietuvių,Pradai,,Politika / istorija,,,,"Spinta D, 2 lentyna",,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00514,Lentynoje,,,,,,,,,,,,
515.0,Lauras Bielinis,Prezidentė,,Lietuvių,,,Politika,,,,"Spinta D, 2 lentyna",Apie D. Grybauskaitę,F33. Geopolitika ir publicistika,,K00515,Lentynoje,,,,,,,,,,,,
516.0,,Prezidentas Valdas Adamkus,,Lietuvių,Baltos lankos,,Biografija,,,,"Spinta D, 2 lentyna",,E32. Biografijos ir memuarai,Valstybininkų biografijos,K00516,Lentynoje,,,,,,,,,,,,
517.0,,Alma,,Lietuvių,Tyto alba,,Romanas (?),,,,"Spinta D, 2 lentyna",PATIKSLINTI autorių ir žanrą,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00517,Lentynoje,,,,,,,,,,,,
518.0,Mykolas Römeris,Teisinės minties palikimas,,Lietuvių,,,Teisė,,,,"Spinta D, 2 lentyna",PATIKSLINTI tikslų pavadinimą,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00518,Lentynoje,,,,,,,,,,,,
519.0,Aleksandras Guobys,Trys dešimtmečiai emigracijoje,,Lietuvių,,,Memuarai,,,,"Spinta D, 2 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00519,Lentynoje,,,,,,,,,,,,
521.0,Algis Balaišis,Lietuvos valstybės sienos apsauga 1918–1940 m.: žmonės ir įvykiai,,Lietuvių,,,Istorija,,,,"Spinta D, 2 lentyna",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00521,Lentynoje,,,,,,,,,,,,
522.0,,Lietuva 1991.01.13,,Lietuvių,,,Istorija,,,,"Spinta D, 2 lentyna",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00522,Lentynoje,,,,,,,,,,,,
523.0,,Leiskit į tėvynę,,Lietuvių,,,Istorija / atsiminimai,,,,"Spinta D, 2 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00523,Lentynoje,,,,,,,,,,,,
524.0,,Amžino įšalo žemėje,,Lietuvių,Žaltvykslė,,Memuarai (tremtis),,,,"Spinta D, 2 lentyna",,E30. Tremtis ir rezistencija,,K00524,Lentynoje,,,,,,,,,,,,
525.0,,Vasario 16-oji – Lietuvos valstybės atkūrimo diena,,Lietuvių,,,Istorija,,,,"Spinta D, 2 lentyna",PATIKSLINTI,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00525,Lentynoje,,,,,,,,,,,,
526.0,Jonas Öhman,Donbasas (?),,Lietuvių,Alma littera,,Istorija / publicistika,,,,"Spinta D, 2 lentyna",PATIKSLINTI tikslų pavadinimą,E29. XX a. totalitarizmai ir karai,,K00526,Lentynoje,,,,,,,,,,,,
527.0,Petras Klimas,Ilgas kelias viršūnėn: iš mano atsiminimų,,Lietuvių,,,Memuarai,,,,"Spinta D, 2 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00527,Lentynoje,,,,,,,,,,,,
528.0,Motiejus Čepas,Rinktinė / atsiminimai,,Lietuvių,,,Memuarai,,,,"Spinta D, 2 lentyna",PATIKSLINTI (gali sutapti su Nr. 347),E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00528,Lentynoje,,,,,,,,,,,,
529.0,Zenonas Ivinskis,Lietuvos istorija,,Lietuvių,,,Istorija,,,,"Spinta D, 3 lentyna","autoriaus ant nugarėlės nematyti · be autoriaus neaišku, kuris leidinys (Sruogienė, Ivinskis, Jučas ir kt.)",E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00529,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,47.0
530.0,,Žalgirio mūšis,,Lietuvių,,,Istorija,,,,"Spinta D, 3 lentyna",PATIKSLINTI autorių,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00530,Lentynoje,,,,,,,,,,,,
531.0,Stanislovas Kryčinskis,Lietuvos totoriai,,Lietuvių,,,Istorija / etnografija,,,,"Spinta D, 3 lentyna",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00531,Lentynoje,,,,,,,,,,,,
532.0,,Visa istorija yra gyvenimas,,Lietuvių,,,Istorija / pokalbiai,,,,"Spinta D, 3 lentyna",Apie E. Gudavičių. PATIKSLINTI,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00532,Lentynoje,,,,,,,,,,,,
533.0,Jonas Radvanas,Radviliada,,Lietuvių,,,Poema,Bibliotheca Baltica,,,"Spinta D, 3 lentyna",,A2. Viduramžių ir tautų epai,,K00533,Lentynoje,,,,,,,,,,,,
534.0,Vytenis Almonaitis,Žemaitijos politinė padėtis 1380–1410 metais,,Lietuvių,,,Istorija,,,,"Spinta D, 3 lentyna",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00534,Lentynoje,,,,,,,,,,,,
535.0,A. J. Greimas; S. Žukas,Lietuva Pabaltijy,,Lietuvių,,,Istorija / kultūra,,,,"Spinta D, 3 lentyna",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00535,Lentynoje,,,,,,,,,,,,
536.0,Petras Dusburgietis,Prūsijos žemės kronika,,Lietuvių,,,Istorijos šaltinis,,,,"Spinta D, 3 lentyna",Nugarėlėje matomi galimai 2 egz.,E27. LDK ir Lietuvos istorija,Šaltiniai ir kronikos,K00536,Lentynoje,,,,,,,,,,,,
537.0,,Lietuvos kronikos,,Lietuvių,,,Istorijos šaltinis,,,,"Spinta D, 3 lentyna",,E27. LDK ir Lietuvos istorija,Šaltiniai ir kronikos,K00537,Lentynoje,,,,,,,,,,,,
538.0,Albertas Vijūkas-Kojelavičius,Lietuvos istorija,,Lietuvių,,,Istorija,,,,"Spinta D, 3 lentyna",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00538,Lentynoje,,,,,,,,,,,,
539.0,,Lietuvos miestų istorijos šaltiniai,,Lietuvių,,,Istorijos šaltiniai,,,,"Spinta D, 3 lentyna",,E27. LDK ir Lietuvos istorija,Šaltiniai ir kronikos,K00539,Lentynoje,,,,,,,,,,,,
540.0,Jadvyga Tarasonienė,Esate ištremta pagrįstai,,Lietuvių,,2004.0,Memuarai (tremtis),,,,"Spinta D, 3 lentyna","OpenLibrary: 2004 m., vienas leidimas; leidykla ir ISBN nepatikslinti",E30. Tremtis ir rezistencija,★ pora: originalas + vertimas,K00540,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,63.0
541.0,Edvardas Gudavičius,Miestų atsiradimas Lietuvoje,,Lietuvių,,,Istorija,,,,"Spinta D, 3 lentyna",PATIKSLINTI,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00541,Lentynoje,,,,,,,,,,,,
542.0,Alexander Giese,Laisvieji mūrininkai,Die Freimaurer,Lietuvių,,,Istorija,,,,"Spinta D, 3 lentyna",,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00542,Lentynoje,,,,,,,,,,,,
543.0,,Lietuvos valstybės konstitucijos,,Lietuvių,,,Teisė,,,,"Spinta D, 3 lentyna",PATIKSLINTI,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00543,Lentynoje,,,,,,,,,,,,
544.0,,,,Lietuvių,,,,,,,"Spinta D, 3 lentyna","PATIKSLINTI: „Lituanistinė biblioteka“ serija, „Vytautas Didysis“, V. Daugirdaitė-Sruogienė ir keli kiti tankiai sukrauti tomai — reikia iš arčiau","X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00544,Lentynoje,,,,,,,,,,,,
545.0,,Kiklopų nelaisvėje,,Lietuvių,,,Memuarai (tremtis),,,,"Spinta D, 2 lentyna",PATIKSLINTI autorių,E30. Tremtis ir rezistencija,,K00545,Lentynoje,,,,,,,,,,,,
546.0,Olga Merkienė,"Aš – Olga, Juozo žmona",,Lietuvių,,,Memuarai,,,,"Spinta D, 2 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00546,Lentynoje,,,,,,,,,,,,
547.0,Izidorius Ignatavičius,Rinktinė,,Lietuvių,,,Memuarai / proza,,,,"Spinta D, 2 lentyna",PATIKSLINTI tikslų pavadinimą,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00547,Lentynoje,,,,,,,,,,,,
548.0,Antanina Garmutė,"Motinėle, auginai",,Lietuvių,,,Memuarai (tremtis),,,,"Spinta D, 2 lentyna",,E30. Tremtis ir rezistencija,,K00548,Lentynoje,,,,,,,,,,,,
549.0,,Mano galerija,,Lietuvių,,,Memuarai / eseistika,,,,"Spinta D, 2 lentyna",PATIKSLINTI autorių,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00549,Lentynoje,,,,,,,,,,,,
550.0,Kazimieras Skebėra,Reikėjo mūsų kančių,,Lietuvių,,,Memuarai,,,,"Spinta D, 2 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00550,Lentynoje,,,,,,,,,,,,
551.0,,Lietuva ir Sąjūdis,,Lietuvių,,,Istorija,,,,"Spinta D, 2 lentyna",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00551,Lentynoje,,,,,,,,,,,,
552.0,Undinė Nasvytytė,Apie pulką ir mergelę,,Lietuvių,Alma littera,,Proza,,,,"Spinta D, 2 lentyna",PATIKSLINTI,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00552,Lentynoje,,,,,,,,,,,,
553.0,,Darius ir Girėnas,,Lietuvių,,,Istorija / biografija,,,,"Spinta D, 2 lentyna",PATIKSLINTI autorių,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00553,Lentynoje,,,,,,,,,,,,
554.0,,Lietuvos valstybės kontrolės istorija,,Lietuvių,,,Istorija,,,,"Spinta D, 3 lentyna",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00554,Lentynoje,,,,,,,,,,,,
555.0,Robert M. Pirsig,Dzenas ir motociklo priežiūros menas,Zen and the Art of Motorcycle Maintenance,Lietuvių,,,Filosofija / proza,,,,"Spinta D, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00555,Lentynoje,,,,,,,,,,,,
556.0,Deepak Chopra,"Galia, laisvė ir malonė","Power, Freedom, and Grace",Lietuvių,,,Saviugda / dvasingumas,,,,"Spinta D, 3 lentyna",,D22. Rytų praktikos ir ezoterika,Ezoterika ir praktikos,K00556,Lentynoje,,,,,,,,,,,,
557.0,Gabija Grušaitė,Stasys Šaltoka: vieneri metai,,Lietuvių,,,Romanas,,,,"Spinta D, 3 lentyna",,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00557,Lentynoje,,,,,,,,,,,,
558.0,Paulius Širvys,Neišsipildymas,,Lietuvių,,,Poezija,,,,"Spinta D, 3 lentyna",,A50. Lietuvių XX–XXI a. literatūra,Poezija,K00558,Lentynoje,,,,,,,,,,,,
559.0,Susanna Millar (Сюзанна Миллер),Психология игры,The Psychology of Play,Rusų,,,Psichologija,,,,"Spinta D, 3 lentyna",,D23. Psichologija ir saviugda,Psichoanalizės ir raidos klasika,K00559,Lentynoje,,,,,,,,,,,,
560.0,Sultan Kermally,Gurus on People Management,,Anglų,Thorogood,,Vadyba,,,,"Spinta D, 3 lentyna",,G37. Strategija ir vadyba,,K00560,Lentynoje,,,,,,,,,,,,
561.0,David H. Maister,Practice What You Preach,,Anglų,Free Press,,Vadyba,,,,"Spinta D, 3 lentyna",,G37. Strategija ir vadyba,,K00561,Lentynoje,,,,,,,,,,,,
562.0,Patrick J. McKenna; David H. Maister,First Among Equals,,Anglų,Free Press,,Vadyba,,,,"Spinta D, 3 lentyna",,G37. Strategija ir vadyba,,K00562,Lentynoje,,,,,,,,,,,,
563.0,Brian Tracy,Maximum Achievement,,Anglų,,,Saviugda,,,,"Spinta D, 3 lentyna",,D23. Psichologija ir saviugda,Saviugda,K00563,Lentynoje,,,,,,,,,,,,
564.0,Erik H. Erikson,Gandhi's Truth,,Anglų,W. W. Norton,,Psichologija / biografija,,,,"Spinta D, 3 lentyna",,D23. Psichologija ir saviugda,Šiuolaikinė psichologija,K00564,Lentynoje,,,,,,,,,,,,
565.0,Lina Žutautė,Kakė Makė (serija),,Lietuvių,,,Vaikų literatūra,,,,"Spinta D, 4 lentyna",PATIKSLINTI tikslų pavadinimą,C16. Vaikų literatūra ir pasakos,Vaikų knygos ir lavinimas,K00565,Lentynoje,,,,,,,,,,,,
566.0,,Vilniaus istorijos metraštis 2007/1,,Lietuvių,Academia,,Istorija,,,,"Spinta D, 4 lentyna",,E28. Vilniaus biblioteka,,K00566,Lentynoje,,,,,,,,,,,,
567.0,,Vilniaus architektūra,,Lietuvių,,,Architektūra,,,,"Spinta D, 4 lentyna",,E28. Vilniaus biblioteka,,K00567,Lentynoje,,,,,,,,,,,,
568.0,,Kauno architektūra,,Lietuvių,,,Architektūra,,,,"Spinta D, 4 lentyna",,"H48. Menas, kalbos, pomėgiai",Architektūra ir miestai,K00568,Lentynoje,,,,,,,,,,,,
569.0,Antanas Rimvydas Čaplinskas,"Vilniaus gatvių istorija: Šv. Jono, Dominikonų, Trakų gatvės",,Lietuvių,,,Istorija,,,,"Spinta D, 4 lentyna",,E28. Vilniaus biblioteka,,K00569,Lentynoje,,,,,,,,,,,,
570.0,,Bažnyčia Lietuvoje,,Lietuvių,,,Istorija / religija,,,,"Spinta D, 4 lentyna",PATIKSLINTI autorių,D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K00570,Lentynoje,,,,,,,,,,,,
571.0,,Trakų miestas ir pilys,,Lietuvių,,,Istorija,,,,"Spinta D, 4 lentyna",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00571,Lentynoje,,,,,,,,,,,,
572.0,,Lietuvos pilys,,Lietuvių,,,Istorija / architektūra,,,,"Spinta D, 4 lentyna",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K00572,Lentynoje,,,,,,,,,,,,
573.0,Algirdas Šidlauskas (?),Lietuvos architektūros istorija,,Lietuvių,,,Architektūra,,,,"Spinta D, 4 lentyna",PATIKSLINTI autorių,"H48. Menas, kalbos, pomėgiai",Architektūra ir miestai,K00573,Lentynoje,,,,,,,,,,,,
574.0,,Vilniaus universiteto istorija (1579–1803),,Lietuvių,,,Istorija,,,,"Spinta D, 4 lentyna",,E28. Vilniaus biblioteka,,K00574,Lentynoje,,,,,,,,,,,,
575.0,,Vilniaus universiteto istorija (1803–1940),,Lietuvių,,,Istorija,,,,"Spinta D, 4 lentyna",,E28. Vilniaus biblioteka,,K00575,Lentynoje,,,,,,,,,,,,
